code,location,city,country,lat,lon
waka,Wakkanai,稚内港-北海道稚内市,Japan,45.41,141.69
abas,Abashiri,网走港-北海道网走市,Japan,44.02,144.29
hana,Hanasaki,北海道根室市,Japan,43.28,145.57
kush,Kushiro,北海道钏路市,Japan,42.98,144.37
hako,Hakodate,北海道函馆市,Japan,41.78,140.72
fuka,Fukaura,深浦,Japan,40.65,139.93
ofun,Ofunato,大船渡港,Japan,39.02,141.75
sado,Sado,佐渡,Japan,38.32,138.52
noto,Noto,诺托,Japan,37.5,137.16
toya,Toyama,富山县富山市富山港,Japan,36.76,137.22
mera,Mera,千叶县馆山市,Japan,34.92,139.83
omae,Omaezaki,御前崎港,Japan,34.61,138.22
kusm,Kushimoto,串本町,Japan,33.48,135.77
saig,Saigo,埼吾,Japan,36.2,133.33
hmda,Hamada,滨田港,Japan,34.9,132.07
tosa,Tosashimizu,高知县土佐清水,Japan,32.78,132.96
naga,Nagasaki,长崎市,Japan,32.74,129.87
abur,Aburatsu,油津港,Japan,31.58,131.41
naha,Naha_Okinawa,那霸市,Japan,26.2133,127.6653
ishi,Ishigakijima,石垣岛,Japan,24.3322,124.1636
busa,Busan,釜山,SouthernKorea,35.093056,129.0375
curri,Currimao,古里茂,Philippines,18.016667,120.483333
subi,Subic_Bay,苏比克湾,Philippines,14.8167,120.2833
mani,Manila,马尼拉,Philippines,14.5822,120.9716
luba,Lubang,鹿邦岛,Philippines,13.818444,120.202225
lega,Legaspi,黎牙实比,Philippines,13.146214,123.758117
davo,Davao,达沃,Philippines,7.1537,125.6629
quin,QuiNhon,归仁市,VietNam,13.7751,109.2543
vtau,Vung Tau,头顿市,VietNam,10.34,107.071
darw,Darwin,达尔文市,Australia,-12.4719,130.8458
brom,Broome,布鲁明,Australia,-18.0008,122.2186
phcp,PortHedland,黑德兰港,Australia,-20.04,118.42
pmur,PtMurat,埃克斯茅斯,Australia,-21.8167,114.191
cuvie/capc,CapeCuvierWharf,卡维尔角港,Australia,-24.2206,113.3969
